,Corr,Corr Standard,Max Dropdown,Max Dropdown Standard,ROI,ROI Standard,Sharp Ratio,Sharp Ratio Standard,Volatility,Volatility Standard
33,0.5555987220886648,-0.7748899442100897,15.97,25.17,11.06,-17.86,0.1600185532185296,-0.4471087318537967,69.13,39.95
34,0.8048736729633079,0.47911854942817145,11.63,17.75,28.62,11.56,0.812700933254302,0.14999950594602657,35.22,77.04
35,0.9237257528107916,-0.4861188770302794,3.89,9.41,14.22,-3.2,0.9694188165335744,-0.04186138045172955,14.67,76.37
36,-0.7091413615883009,0.939276970198357,10.93,10.15,-1.96,21.71,-0.039381340742739426,1.843575563421275,49.71,11.78
37,0.9535960984772888,-0.7568261517650635,5.56,26.41,15.72,-3.04,1.7336369170198962,-0.07120684052676862,9.07,42.72
38,0.7383879524208459,0.936498441206353,10.42,10.24,18.67,25.43,0.4104431215406426,2.0679093041236536,45.48,12.3
39,0.2860308096945029,0.13053637875371799,8.3,11.4,2.1,3.2,0.022893990187324728,0.032548285407961085,91.82,98.3
40,0.9588287659648517,-0.7806641961759528,6.76,20.47,29.8,-17.08,3.695188206111492,-0.4372265783704667,8.06,39.06
41,0.9503993901475989,-0.7476095818743896,5.54,14.79,20.12,-5.35,2.080270328538619,-0.12128210536822644,9.67,44.11
42,0.05877831804050914,0.6456487896556871,10.93,13.54,-1.53,14.49,-0.0153152570055003,0.24844928164853328,99.65,58.31
43,0.7487107347253884,0.5653881108155706,10.4,12.81,1.67,19.1,0.038021711542743634,0.2807773692429053,43.94,68.03
44,0.8589611269903585,0.7608744804670038,5.23,8.76,7.26,7.28,0.2768165680995674,0.1727806852595565,26.22,42.11
45,0.9325707546794301,-0.8783785943081924,8.41,33.46,26.84,-21.54,2.0593947266826906,-0.9430405220852799,13.03,22.85
46,0.2695564476329362,0.92017535465598,8.24,11.91,19.88,13.31,0.21432427219366074,0.8683039913696968,92.73,15.33
47,0.9848909272605757,-0.8917067976323525,4.55,17.98,29.54,-11.87,9.849373142214725,-0.5794116254573634,3.0,20.49
48,0.40054003794993676,-0.2907837334643516,19.58,31.86,20.33,-6.91,0.24210575407964444,-0.07551800020760881,83.96,91.54
49,0.9202344204666895,-0.8723794973393982,23.21,51.26,42.62,-23.46,2.7825813487630753,-0.9817521137514044,15.32,23.9
50,0.8366825765074075,0.5243271032858382,6.02,7.88,5.03,11.17,0.16764296594806405,0.1540272605358057,30.0,72.51
51,0.3572185168208455,-0.19818588795418426,14.78,24.19,2.43,2.0,0.02787583224291096,0.02083321109434062,87.24,96.07
52,0.5140268616083952,0.8666189099405956,7.81,12.2,11.57,10.52,0.15718282999318298,0.4223511057496216,73.58,24.9
53,0.5802991840885464,0.9234360872389134,26.39,22.68,0.36,44.16,0.005420399781826887,2.998540255121335,66.33,14.73
54,0.8983343826690753,0.7365708373851014,6.69,9.22,10.76,21.6,0.5573593530059853,0.47206826705111404,19.3,45.75
55,0.843311334124993,-0.5013497444957732,19.58,31.86,16.23,-3.34,0.5619392335164458,-0.0446257288393439,28.88,74.86
56,0.9449101096909885,-0.8189582085112036,6.76,20.47,23.02,-6.65,2.1485635312577083,-0.20191663344695476,10.71,32.93
57,0.5544265582894312,0.5518939898275865,11.25,17.07,12.03,-0.1,0.17366567253660378,-0.0014601215621625576,69.26,69.54
58,0.5772046609054662,0.09617056609313869,8.65,11.74,12.13,-4.3,0.18195949638195374,-0.04335757596367025,66.68,99.08
59,0.9385628448371298,-0.9291824479014252,21.14,52.56,60.34,-39.47,5.0663328974633846,-2.8887017001425925,11.91,13.66
60,0.6371880859265951,0.750757083386812,5.23,8.19,8.61,5.75,0.14491871194309405,0.13169784394228903,59.4,43.64
61,0.7824849740397979,0.6664415361025415,5.22,11.49,12.12,4.9,0.31267466858309917,0.08814255632552583,38.77,55.59
62,0.9817204145805137,-0.8920261355784196,4.55,17.98,32.59,-12.97,8.995349204653033,-0.6347463475883024,3.62,20.43
63,-0.5751840227015955,-0.24009633382832124,19.1,15.83,-10.57,4.0,-0.15788389553290055,0.04245983679934677,66.92,94.24
64,0.6949487637392162,-0.6303054330580815,19.58,31.86,19.42,-6.66,0.3755943544961403,-0.11042190270782276,51.7,60.27
65,0.9388302755200503,-0.929662246031046,21.14,51.04,57.1,-38.98,4.814877425037522,-2.871601625290261,11.86,13.57
66,0.19086140117909647,0.27047278318883283,13.01,19.83,7.82,8.15,0.08111521594924795,0.08793670454152738,96.36,92.68
67,0.9318490786902518,-0.9006692501660496,8.41,33.46,23.99,-23.04,1.8224079540048697,-1.220155842218981,13.17,18.88
68,-0.7869687501638836,0.8057165708944292,15.94,15.16,-5.32,4.31,-0.13985383880376764,0.12277561596835898,38.07,35.08
69,0.9545799590035949,-0.6729841739227668,5.65,24.43,22.16,-8.37,2.4964615968182917,-0.15304597748788457,8.88,54.71
70,0.9423103957020438,-0.8070831461456817,8.41,33.46,17.43,-16.14,1.5558668171213983,-0.4630160450202354,11.21,34.86
71,0.9536188833965187,-0.7435893243943117,5.68,23.41,26.77,-18.57,2.9543475106805053,-0.41535477622158773,9.06,44.71
72,0.6924971968899842,0.8652123812345318,6.6,5.92,8.39,8.96,0.1611814460065902,0.35638570271718983,52.04,25.14
73,0.9579210981812522,-0.7879996891217708,5.65,23.41,21.65,-15.23,2.6283465239894372,-0.40183532057186944,8.24,37.91
74,0.8660591504249769,0.11700669420499732,5.25,11.15,12.72,5.66,0.5088575683800168,0.0574320317719508,24.99,98.63
75,0.8919078213464564,-0.6459926485200017,7.41,22.79,26.2,-16.5,1.2812409534496285,-0.28320394740115007,20.45,58.27
76,0.8253049720186842,0.6442242795828191,4.29,5.93,8.6,8.42,0.2695541878142142,0.1439200839729504,31.89,58.5
77,-0.7231944194572894,0.7870170696412578,16.87,15.18,-2.37,3.76,-0.04973543161496752,0.09880443959420779,47.7,38.06
78,0.8570245918796981,0.2817036909852666,9.46,27.37,41.27,-3.97,1.5544272056942554,-0.04309412603664293,26.55,92.06
79,0.9741634187386795,-0.6592653926745533,2.24,15.63,39.12,-10.95,7.67042150477133,-0.19359983237197384,5.1,56.54
